"","Estimate","Std. Error","z value","Pr(>|z|)"
"schoolMS",-2.63681136450335,0.401028687521887,-6.57511905394409,4.86142542844869e-11
"failures",-1.14787091890235,0.205151262118872,-5.5952418086379,2.20314488770614e-08
"higheryes",1.81130783481777,0.406741395854942,4.45321733483884,8.45930505511572e-06
"(Intercept)",3.77812760267937,0.927758238335667,4.07231910918632,4.65473473237043e-05
"absences",-0.118783431068795,0.0343609097437953,-3.45693498671828,0.000546356643501326
"Walc",-0.351225434605873,0.152012449082939,-2.31050441411046,0.0208602444422381
"guardianmother",-1.02432387895407,0.443433055452056,-2.30998538868473,0.0208889630657633
"traveltime",0.480658009457179,0.237879054565482,2.02059828401103,0.0433213667262941
"Dalc",0.437783545313357,0.217329950162736,2.01437282337545,0.0439704054242143
"PstatusT",-0.907778652047219,0.560544324180705,-1.61945918081328,0.105348502341913
"paidyes",-0.866077723369945,0.568383144720993,-1.52375687318294,0.127569456454146
"guardianother",1.16548119683995,0.941688254083272,1.23765077432609,0.215845578992561
